,0,1
0,-34.73857,-33.4996
1,15.539823,62.33841
2,-13.880467,71.28677
3,-42.805416,-31.237337
4,-36.660103,-69.70695
5,-3.5755587,73.45847
6,-53.803177,-23.13186
7,-50.582996,-25.452396
8,2.5389128,53.312386
9,37.74097,-44.490273
10,-9.021717,7.494031
11,-22.25148,7.35824
12,16.55611,32.997353
13,40.926064,-40.13631
14,5.3662157,-46.8968
15,-47.69931,23.975801
16,-62.761257,-30.99212
17,-6.264671,-12.914059
18,19.4231,51.55838
19,-18.36395,22.927532
20,9.179454,-47.708782
21,-7.4885497,-64.00282
22,27.326323,-3.403884
23,-1.4833581,11.647861
24,18.02444,-57.55352
25,-22.08175,-56.207508
26,-4.254648,33.786926
27,27.326323,-3.403884
28,-15.289868,13.079853
29,27.326323,-3.403884
30,-30.31456,41.9291
31,27.326323,-3.403884
32,27.326323,-3.403884
33,4.9502,51.95456
34,5.7143717,-46.10578
35,27.133287,35.41086
36,-16.121511,-5.567335
37,73.80766,-4.0569687
38,53.32384,19.482754
39,-27.060955,33.63276
40,-7.298243,41.770576
41,-8.3363,-0.11891115
42,26.882093,39.327625
43,18.171415,36.74583
44,-8.496412,24.04476
45,-17.355207,-3.5151176
46,64.14087,17.468508
47,-8.677785,-3.9799774
48,-51.526085,-24.21059
49,51.490547,-40.098373
50,18.95818,51.81916
51,-0.7125531,28.265568
52,-0.26292792,72.56437
53,-13.691498,-11.688119
54,-10.164329,61.245457
55,-9.991133,53.254143
56,-48.80327,-24.311804
57,-37.22216,-20.629189
58,-35.306187,-20.270086
59,-51.973476,-24.80754
60,28.7677,72.012436
61,18.651686,-38.92856
62,3.4162035,-39.277653
63,-35.938095,-19.973183
64,-49.365612,9.108083
65,-7.0910406,40.62839
66,-23.09694,9.051609
67,-32.959286,4.4005494
68,-43.843193,7.523494
69,-13.474624,-13.226074
70,29.802336,72.35083
71,64.53856,32.03349
72,0.46660858,-36.198177
73,-1.9978596,-32.139915
74,-10.278475,56.544495
75,-48.685936,25.750292
76,-42.15825,30.298344
77,-1.3574505,64.20396
78,11.98026,37.935093
79,-5.8038745,-2.4840539
80,-18.03192,22.193747
81,10.926362,-38.743538
82,-20.873209,29.330214
83,-15.174741,16.520618
84,46.17148,-42.68104
85,-15.419432,12.943111
86,38.963413,-44.078938
87,48.17687,-40.8983
88,27.326323,-3.403884
89,-32.239876,29.090355
90,-36.674393,-69.1965
91,-33.148006,24.168938
92,2.70789,33.19519
93,-53.62692,-19.29366
94,-24.846935,-71.888435
95,12.09694,-55.219566
96,41.78321,-37.415016
97,-2.8019755,24.108154
98,24.701035,70.26751
99,18.879622,-38.436337
100,6.8460894,-27.809454
101,-17.979221,26.655521
102,-26.22841,35.11598
103,-15.423087,-4.292665
104,-25.823225,38.46783
105,17.394032,-48.88472
106,-55.835464,-20.371231
107,27.326323,-3.403884
108,5.2675247,52.890293
109,6.8630147,-60.140217
110,27.326323,-3.403884
111,-9.845421,-59.19899
112,-25.50165,26.50519
113,-25.908215,26.143866
114,-14.727806,11.179283
115,-41.915012,33.605915
116,75.37656,11.6012945
117,73.4819,0.21402942
